GO:0050435,GO:0034205,GO:1902003,GO:1902991,GO:0042987,GO:0042982,GO:1902992,GO:1902430,GO:0006066,GO:1990000,GO:0090209,GO:1900272,GO:0006898,GO:0031532,GO:0060291,GO:0043393,GO:0061097,GO:0002313,GO:0034248,GO:0032092,GO:1902905,GO:0030100,GO:0070997,GO:2000403,GO:0051000,GO:0032959,GO:0050730,GO:0006874,GO:0002335,GO:0035235,GO:0032957,GO:0032459,GO:0055074,GO:0002021,GO:0032770,GO:0051604,GO:0072503,GO:0014009,GO:0019934,GO:0030225,GO:0070374,GO:0018108,GO:0043112,GO:0018212,GO:0019433,GO:2000310,GO:0038083,GO:2000249,GO:0033619,GO:0008203,GO:0051235,GO:0090207,GO:1902652,GO:2000401,GO:0098815,GO:0097242,GO:1905245,GO:0045862,GO:0032958,GO:0046461,GO:0046464,GO:2001257,GO:1900271,GO:0016125,GO:0048259,GO:0050806,GO:0009896,GO:0045732,GO:0106027,GO:0022604,GO:1902004,GO:0006816,GO:0046165,GO:0051098,GO:0051099,GO:1902903,GO:1900221,GO:0042063,GO:0050999,GO:1902993,GO:0044242,GO:0048168,GO:0048167,GO:0051353,GO:1901214,GO:0061098,GO:0050731,GO:0043647,GO:0070838,GO:0051924,GO:1900449,GO:0072511,GO:0007626,GO:0034250,GO:0016485,GO:0045807,GO:0070372,GO:0006869,GO:0034249,GO:1901215,GO:0032768,GO:0046503,GO:0016358,GO:0010951,GO:0065005,GO:0070371,GO:0007015,GO:0099601,GO:0007229,GO:0010876,GO:0010466,GO:1904684,GO:0015909,GO:0007220,GO:0060079
1.0,0.988,0.973,0.257,0.261,0.265,0.241,0.919,0.215,0.241,0.164,0.067,0.085,0.073,0.072,0.033,0.263,0.075,0.578,0.031,0.081,0.083,0.082,0.076,0.121,0.164,0.271,0.086,0.078,0.077,0.166,0.076,0.034,0.028,0.135,0.294,0.087,0.076,0.074,0.075,0.232,0.286,0.194,0.294,0.164,0.07,0.241,0.07,0.255,0.174,0.034,0.174,0.19,0.081,0.075,0.028,0.247,0.281,0.174,0.17,0.169,0.084,0.07,0.182,0.078,0.081,0.161,0.267,0.076,0.034,0.919,0.035,0.202,0.035,0.033,0.086,0.027,0.089,0.128,0.241,0.206,0.074,0.08,0.144,0.08,0.249,0.255,0.18,0.035,0.033,0.075,0.035,0.031,0.528,0.285,0.077,0.241,0.037,0.532,0.076,0.142,0.181,0.081,0.263,0.076,0.244,0.086,0.077,0.072,0.037,0.27,0.232,0.031,0.238,0.078
0.988,1.0,0.985,0.905,0.92,0.902,0.851,0.931,0.211,0.298,0.189,0.066,0.084,0.072,0.071,0.032,0.325,0.074,0.57,0.03,0.08,0.082,0.081,0.075,0.119,0.162,0.335,0.085,0.077,0.076,0.164,0.075,0.033,0.028,0.133,0.363,0.086,0.076,0.073,0.074,0.288,0.353,0.268,0.363,0.189,0.07,0.298,0.07,0.316,0.202,0.034,0.201,0.188,0.08,0.074,0.028,0.305,0.346,0.172,0.196,0.195,0.083,0.07,0.213,0.077,0.08,0.158,0.33,0.076,0.034,0.931,0.034,0.199,0.034,0.032,0.085,0.027,0.088,0.126,0.851,0.236,0.073,0.079,0.143,0.079,0.308,0.316,0.177,0.035,0.032,0.074,0.035,0.031,0.52,0.352,0.076,0.298,0.036,0.525,0.075,0.14,0.208,0.08,0.325,0.075,0.302,0.084,0.076,0.071,0.036,0.334,0.288,0.03,0.294,0.077
0.973,0.985,1.0,0.922,0.905,0.887,0.869,0.946,0.207,0.294,0.305,0.154,0.082,0.071,0.165,0.146,0.434,0.073,0.698,0.136,0.187,0.191,0.079,0.176,0.252,0.16,0.447,0.149,0.075,0.179,0.161,0.176,0.149,0.027,0.281,0.356,0.15,0.074,0.171,0.073,0.386,0.347,0.263,0.356,0.186,0.163,0.294,0.163,0.31,0.199,0.153,0.324,0.184,0.187,0.173,0.028,0.409,0.463,0.169,0.193,0.192,0.193,0.163,0.209,0.18,0.187,0.333,0.442,0.074,0.167,0.946,0.033,0.195,0.155,0.146,0.197,0.135,0.086,0.266,0.869,0.232,0.172,0.185,0.3,0.184,0.412,0.422,0.174,0.034,0.161,0.174,0.034,0.03,0.639,0.345,0.179,0.4,0.035,0.644,0.175,0.295,0.205,0.078,0.434,0.074,0.297,0.083,0.178,0.165,0.035,0.447,0.386,0.03,0.289,0.181
0.257,0.905,0.922,1.0,0.982,0.965,0.937,0.869,0.229,0.317,0.329,0.137,0.035,0.03,0.148,0.16,0.472,0.031,0.448,0.148,0.169,0.173,0.034,0.158,0.27,0.17,0.487,0.164,0.032,0.161,0.172,0.158,0.164,0.029,0.304,0.391,0.165,0.031,0.153,0.031,0.415,0.38,0.288,0.391,0.201,0.146,0.317,0.146,0.336,0.216,0.168,0.351,0.202,0.169,0.155,0.03,0.442,0.506,0.181,0.209,0.207,0.175,0.146,0.228,0.162,0.169,0.366,0.48,0.031,0.184,0.869,0.037,0.215,0.171,0.16,0.179,0.146,0.037,0.287,0.937,0.255,0.154,0.167,0.327,0.166,0.446,0.458,0.187,0.037,0.176,0.156,0.037,0.033,0.406,0.378,0.161,0.431,0.039,0.41,0.157,0.32,0.223,0.033,0.472,0.031,0.321,0.035,0.16,0.148,0.039,0.486,0.415,0.032,0.312,0.163
0.261,0.92,0.905,0.982,1.0,0.983,0.92,0.851,0.234,0.322,0.204,0.028,0.036,0.03,0.03,0.035,0.353,0.031,0.281,0.033,0.034,0.035,0.034,0.032,0.128,0.173,0.365,0.036,0.032,0.032,0.175,0.032,0.036,0.03,0.144,0.399,0.037,0.032,0.031,0.031,0.31,0.388,0.294,0.399,0.204,0.029,0.322,0.029,0.342,0.22,0.037,0.218,0.206,0.034,0.031,0.03,0.33,0.379,0.184,0.213,0.211,0.035,0.029,0.232,0.033,0.034,0.174,0.36,0.032,0.037,0.851,0.038,0.22,0.038,0.035,0.036,0.029,0.038,0.136,0.92,0.26,0.031,0.034,0.155,0.034,0.333,0.342,0.19,0.038,0.036,0.031,0.038,0.034,0.255,0.385,0.032,0.322,0.04,0.257,0.032,0.152,0.227,0.034,0.353,0.032,0.327,0.036,0.032,0.03,0.04,0.364,0.31,0.033,0.317,0.033
0.265,0.902,0.887,0.965,0.983,1.0,0.902,0.834,0.24,0.328,0.207,0.028,0.036,0.031,0.03,0.036,0.359,0.032,0.287,0.033,0.035,0.035,0.035,0.032,0.13,0.175,0.372,0.037,0.033,0.033,0.178,0.032,0.037,0.03,0.147,0.407,0.037,0.032,0.031,0.032,0.315,0.395,0.3,0.407,0.207,0.03,0.328,0.03,0.348,0.224,0.038,0.222,0.21,0.035,0.032,0.031,0.336,0.386,0.188,0.216,0.214,0.036,0.03,0.236,0.033,0.035,0.178,0.366,0.032,0.038,0.834,0.038,0.224,0.039,0.036,0.037,0.03,0.038,0.138,0.902,0.266,0.031,0.034,0.158,0.034,0.339,0.348,0.194,0.039,0.036,0.032,0.039,0.034,0.26,0.393,0.033,0.328,0.041,0.262,0.032,0.155,0.231,0.034,0.359,0.032,0.332,0.037,0.033,0.03,0.041,0.371,0.315,0.033,0.322,0.033
0.241,0.851,0.869,0.937,0.92,0.902,1.0,0.931,0.211,0.298,0.39,0.247,0.033,0.028,0.139,0.149,0.442,0.029,0.414,0.138,0.157,0.161,0.031,0.148,0.256,0.16,0.455,0.152,0.03,0.15,0.162,0.148,0.152,0.028,0.285,0.363,0.153,0.029,0.144,0.029,0.391,0.353,0.268,0.363,0.189,0.137,0.298,0.137,0.316,0.202,0.156,0.329,0.188,0.158,0.146,0.028,0.415,0.471,0.17,0.196,0.195,0.163,0.137,0.213,0.151,0.157,0.339,0.449,0.029,0.171,0.821,0.034,0.199,0.158,0.149,0.166,0.137,0.034,0.27,0.882,0.236,0.145,0.156,0.305,0.155,0.419,0.429,0.175,0.035,0.164,0.146,0.035,0.031,0.378,0.352,0.15,0.406,0.036,0.529,0.281,0.3,0.208,0.031,0.572,0.029,0.302,0.033,0.15,0.139,0.036,0.588,0.507,0.03,0.294,0.152
0.919,0.931,0.946,0.869,0.851,0.834,0.931,1.0,0.192,0.278,0.386,0.231,0.077,0.067,0.156,0.137,0.409,0.069,0.649,0.128,0.175,0.179,0.074,0.165,0.239,0.151,0.42,0.14,0.071,0.168,0.152,0.165,0.14,0.026,0.265,0.333,0.14,0.07,0.161,0.069,0.365,0.325,0.247,0.333,0.176,0.154,0.278,0.154,0.292,0.188,0.143,0.305,0.173,0.175,0.163,0.026,0.386,0.434,0.16,0.182,0.181,0.181,0.154,0.196,0.169,0.175,0.311,0.415,0.07,0.156,0.897,0.031,0.182,0.145,0.137,0.184,0.128,0.08,0.252,0.821,0.216,0.162,0.174,0.282,0.173,0.389,0.398,0.164,0.032,0.151,0.164,0.032,0.028,0.598,0.323,0.168,0.378,0.033,0.747,0.293,0.277,0.193,0.073,0.529,0.07,0.281,0.078,0.167,0.156,0.033,0.543,0.473,0.028,0.274,0.17
0.215,0.211,0.207,0.229,0.234,0.24,0.211,0.192,1.0,0.211,0.211,0.033,0.046,0.037,0.036,0.045,0.237,0.039,0.241,0.041,0.043,0.044,0.044,0.039,0.154,0.677,0.247,0.047,0.041,0.04,0.688,0.039,0.047,0.036,0.178,0.276,0.047,0.04,0.038,0.039,0.201,0.266,0.264,0.276,0.211,0.036,0.211,0.036,0.228,0.743,0.049,0.229,0.843,0.043,0.039,0.037,0.218,0.259,0.734,0.222,0.22,0.045,0.036,0.672,0.041,0.043,0.227,0.242,0.04,0.048,0.192,0.049,0.917,0.05,0.045,0.046,0.036,0.049,0.166,0.211,0.287,0.038,0.042,0.196,0.042,0.22,0.228,0.764,0.05,0.046,0.039,0.05,0.042,0.212,0.264,0.04,0.211,0.053,0.214,0.039,0.191,0.241,0.043,0.237,0.039,0.215,0.046,0.04,0.036,0.053,0.246,0.201,0.041,0.207,0.041
0.241,0.298,0.294,0.317,0.322,0.328,0.298,0.278,0.211,1.0,0.189,0.066,0.305,0.263,0.071,0.032,0.325,0.074,0.254,0.03,0.676,0.298,0.081,0.075,0.119,0.16,0.335,0.085,0.077,0.076,0.162,0.274,0.033,0.028,0.133,0.363,0.086,0.076,0.073,0.074,0.288,0.353,0.268,0.363,0.189,0.07,0.298,0.254,0.316,0.202,0.034,0.201,0.188,0.08,0.074,0.028,0.305,0.346,0.17,0.196,0.195,0.083,0.07,0.213,0.28,0.08,0.158,0.33,0.275,0.034,0.278,0.034,0.199,0.034,0.032,0.715,0.027,0.088,0.126,0.298,0.236,0.073,0.079,0.143,0.079,0.308,0.316,0.175,0.035,0.032,0.074,0.035,0.031,0.232,0.352,0.278,0.298,0.036,0.234,0.075,0.14,0.208,0.29,0.325,0.274,0.302,0.714,0.076,0.071,0.036,0.334,0.288,0.03,0.294,0.077
