locus	chr	pos	ID	ALT_FREQS	snp_conseq	snp_conseq_gene	coding_snp	chr_hg38	pos_hg38	code_gtex	eqtl_blood	positional_mapping	source_finalGenes	geneList
1:207802552	1	207802552	rs4844610	0.171968	INTRONIC	CR1	NA	chr1	207629207	chr1_207629207_	NA	CR1,CR1L	positional	CR1,CR1L
2:37515958	2	37515958	rs876461	0.131213	NA	NA	NA	chr2	37288815	chr2_37288815_	NA	PRKD3	positional	PRKD3
2:127892810	2	127892810	rs6733839	0.379722	INTERGENIC	NA	NA	chr2	127135234	chr2_127135234_	NA	BIN1,CYP27C1	positional	BIN1,CYP27C1
2:233981912	2	233981912	rs10933431	0.228628	INTRONIC	INPP5D	NA	chr2	233117202	chr2_233117202_	NA	NGEF,NEU2	positional	NGEF,NEU2,INPP5D
4:11027619	4	11027619	rs4351014	0.282306	INTERGENIC	NA	NA	chr4	11025995	chr4_11025995_	NA	CLNK,HS3ST1	positional	CLNK,HS3ST1
6:32652196	6	32652196	rs9275152	0.106362	INTERGENIC	NA	NA	chr6	32684419	chr6_32684419_	HLA-DRB6,HLA-DRB1,HLA-DQA1,HLA-DQB1,HLA-DQB1-AS1,HLA-DQA2,HLA-DQB2,TAP2,HLA-DOB	HLA-DQB1	eqtl+cadd	HLA-DRB6,HLA-DRB1,HLA-DQB1,HLA-DQB1-AS1,HLA-DQB2,TAP2,HLA-DOB
6:41154650	6	41154650	rs9381040	0.295229	DOWNSTREAM	TREML2	NA	chr6	41186912	chr6_41186912_	ADCY10P1	TREM2,TREML2	eqtl+cadd	ADCY10P1,TREML2
6:47443806	6	47443806	rs9381564	0.252485	DOWNSTREAM,UPSTREAM	RP11-385F7.1,CD2AP	NA	chr6	47476070	chr6_47476070_	NA	CD2AP	positional	CD2AP
7:143103481	7	143103481	rs56402156	0.218688	UPSTREAM,REGULATORY,INTRONIC	EPHA1-AS1,EPHA1	NA	chr7	143406388	chr7_143406388_	EPHA1-AS1,TAS2R60	FAM131B,ZYX,EPHA1	eqtl+cadd	EPHA1-AS1,TAS2R60,EPHA1
8:27219987	8	27219987	rs73223431	0.345924	REGULATORY,INTRONIC	PTK2B	NA	chr8	27362470	chr8_27362470_	PTK2B	PTK2B	eqtl+cadd	PTK2B
8:27467686	8	27467686	rs9331896	0.395626	INTRONIC	CLU	NA	chr8	27610169	chr8_27610169_	NA	CLU,SCARA3	positional	CLU,SCARA3
10:11720308	10	11720308	rs7920721	0.367793	UPSTREAM,REGULATORY	NA	NA	chr10	11678309	chr10_11678309_	NA	USP6NL,ECHDC3	positional	USP6NL,ECHDC3
